full_text,text_clean,label
"Soal pertemuan Ganjar dan Airlangga, tertutup. Seperti pertemuan yang tak penting. Magnet Ganjar dalam pertemuan-pertemuan seperti itu kalah jauh ketimbang Puan, apalagi Megawati. Bukan levelnya. Justru mulai beredar Airlangga akan di-Munaslub-kan. Penggantinya LBP pula.",soal temu ganjar airlangga tutup temu tidak penting magnet ganjar temu temu kalah jauh ketimbang puan megawati bukan level justru mulai edar airlangga musyawarahnasionalluarbiasa ganti,2
"Meski sepi dari pemberitaan, sebetulnya Ganjar dan Airlangga Hartarto juga bertemu. Ada apa? Tapi, agaknya publik (media) lebih tertarik atas pemanggilan Airlangga di Kejagung. Airlangga tak hadir dan akan dipanggil lagi Senin depan. Berarti, masih jeda. Bakal ramai pekan depan.",meski sepi berita ganjar airlangga hartarto temu agak publik media lebih tarik atas panggil airlangga jagung airlangga hadir panggil senin depan arti jeda bakal ramai pekan depan,0
@Gus_Raharjo @ganjarpranowo Kok hebat kali dia  seudelnya ganti Ganjar? Sekalian aja coblos Yohanis Yamani biar Jokodok tau rasa ...,hebat kali udel ganti ganjar sekali coblos yohanis yamani jokowi tahu rasa,2
"@FadlyNajib @geloraco Bisa jadi, ganjar wapres",jadi ganjar wapres,0
1 Muharam bersama GANJAR https,muharam sama ganjar,1
@lhayesno @yunartowijaya @budimandjatmiko @harus P Ganjar Pranowo RI 1,ganjar pranowo,1
@lek_brewok @Tan_Mar3M @Puspen_TNI Ada banyak foto ganjar nempel di tempat pendidikan dll tapi gk kalian protes juga...,banyak foto ganjar nempel tempat didik danlain-lain kalian protes,0
@ganjarpranowo Bsa kirim p ganjar di kandang anies &amp  wowo,kirim ganjar kandang anies wowo,0
"Jika dulu kita satu komando untuk pak Jokowi, kini kita satu komando untuk pak Ganjar.. Tetap memberikan data dan fakta, menyebarkan cinta keseluruh penjuru negeri, seperti yang pak Jokowi ajarkan. ????. Relawan itu adalah kita. https://t.co/0UwOqM4GEA",dulu satu komando jokowi kini satu komando ganjar tetap beri data fakta sebar cinta seluruh penjuru negeri yang jokowi ajar rawan kita,1
Selamat Pagi tuips...kira - kira pagi ini Ganjar sudahkah mandi Junub ?  https,selamat pagi tuips kira kira pagi ganjar sudah mandi junub,2
@KompasTV Coba deklarasi ganjar dulu pak mungkin bulan depan surat pemeriksaannya diilangin sama umbi umbi kejaksaan,coba deklarasi ganjar dulu mungkin bulan depan surat periksa diilangin sama umbi umbi jaksa,2
"@Leonita_Lestari akankah ada nantinya titik pertemuan capres cawapres Ganjar - Prabowo ? semoga saja, negara ini sudah capek bertikai antar penerus bangsa",akan nanti titik temu capres cawapres ganjar prabowo moga negara cape tika antar terus bangsa,0
@lhayesno @yunartowijaya @budimandjatmiko Harus p.ganjar calon RI 1,ganjar calon,1
"Mantan Panglima TNI Andika Perkasa Siap Jadi Cawapres Ganjar, PPP Buka Suara https://t.co/iVJOUl1sff",mantan panglima andika perkasa siap jadi cawapres ganjar buka suara,1
"@supian_ator @Dennysiregar7 @budimandjatmiko Kenapa lari ke Ganjar,bukankah judul di atas itu tentang Budiman dan Prabowo,ini penyakit hati yg akut, nebar hoax lagi.",lari ganjar bukankah judul atas budiman prabowo sakit hati akut nebar isubohong,1
