full_text,text_clean,label,tokens,lemma
"Soal pertemuan Ganjar dan Airlangga, tertutup. Seperti pertemuan yang tak penting. Magnet Ganjar dalam pertemuan-pertemuan seperti itu kalah jauh ketimbang Puan, apalagi Megawati. Bukan levelnya. Justru mulai beredar Airlangga akan di-Munaslub-kan. Penggantinya LBP pula.",soal temu ganjar airlangga tutup temu tidak penting magnet ganjar temu temu kalah jauh ketimbang puan megawati bukan level justru mulai edar airlangga musyawarahnasionalluarbiasa ganti,2,"['soal', 'temu', 'ganjar', 'airlangga', 'tutup', 'temu', 'tidak', 'penting', 'magnet', 'ganjar', 'temu', 'temu', 'kalah', 'jauh', 'ketimbang', 'puan', 'megawati', 'bukan', 'level', 'justru', 'mulai', 'edar', 'airlangga', 'musyawarahnasionalluarbiasa', 'ganti']",temu ganjar airlangga tutup temu magnet ganjar temu temu kalah ketimbang puan megawati level edar airlangga musyawarahnasionalluarbiasa ganti
"Meski sepi dari pemberitaan, sebetulnya Ganjar dan Airlangga Hartarto juga bertemu. Ada apa? Tapi, agaknya publik (media) lebih tertarik atas pemanggilan Airlangga di Kejagung. Airlangga tak hadir dan akan dipanggil lagi Senin depan. Berarti, masih jeda. Bakal ramai pekan depan.",meski sepi berita ganjar airlangga hartarto temu agak publik media lebih tarik atas panggil airlangga jagung airlangga hadir panggil senin depan arti jeda bakal ramai pekan depan,0,"['meski', 'sepi', 'berita', 'ganjar', 'airlangga', 'hartarto', 'temu', 'agak', 'publik', 'media', 'lebih', 'tarik', 'atas', 'panggil', 'airlangga', 'jagung', 'airlangga', 'hadir', 'panggil', 'senin', 'depan', 'arti', 'jeda', 'bakal', 'ramai', 'pekan', 'depan']",sepi berita ganjar airlangga hartarto temu publik media tarik panggil airlangga jagung airlangga hadir panggil senin jeda ramai pekan
@Gus_Raharjo @ganjarpranowo Kok hebat kali dia  seudelnya ganti Ganjar? Sekalian aja coblos Yohanis Yamani biar Jokodok tau rasa ...,hebat kali udel ganti ganjar sekali coblos yohanis yamani jokowi tahu rasa,2,"['hebat', 'kali', 'udel', 'ganti', 'ganjar', 'sekali', 'coblos', 'yohanis', 'yamani', 'jokowi', 'tahu', 'rasa']",hebat udel ganti ganjar coblos yohanis yamani jokowi
"@FadlyNajib @geloraco Bisa jadi, ganjar wapres",jadi ganjar wapres,0,"['jadi', 'ganjar', 'wapres']",ganjar wapres
1 Muharam bersama GANJAR https,muharam sama ganjar,1,"['muharam', 'sama', 'ganjar']",muharam ganjar
@lhayesno @yunartowijaya @budimandjatmiko @harus P Ganjar Pranowo RI 1,ganjar pranowo,1,"['ganjar', 'pranowo']",ganjar pranowo
@lek_brewok @Tan_Mar3M @Puspen_TNI Ada banyak foto ganjar nempel di tempat pendidikan dll tapi gk kalian protes juga...,banyak foto ganjar nempel tempat didik danlain-lain kalian protes,0,"['banyak', 'foto', 'ganjar', 'nempel', 'tempat', 'didik', 'danlain-lain', 'kalian', 'protes']",foto ganjar nempel didik danlain-lain protes
@ganjarpranowo Bsa kirim p ganjar di kandang anies &amp  wowo,kirim ganjar kandang anies wowo,0,"['kirim', 'ganjar', 'kandang', 'anies', 'wowo']",kirim ganjar kandang anies wowo
"Jika dulu kita satu komando untuk pak Jokowi, kini kita satu komando untuk pak Ganjar.. Tetap memberikan data dan fakta, menyebarkan cinta keseluruh penjuru negeri, seperti yang pak Jokowi ajarkan. ????. Relawan itu adalah kita. https://t.co/0UwOqM4GEA",dulu satu komando jokowi kini satu komando ganjar tetap beri data fakta sebar cinta seluruh penjuru negeri yang jokowi ajar rawan kita,1,"['dulu', 'satu', 'komando', 'jokowi', 'kini', 'satu', 'komando', 'ganjar', 'tetap', 'beri', 'data', 'fakta', 'sebar', 'cinta', 'seluruh', 'penjuru', 'negeri', 'yang', 'jokowi', 'ajar', 'rawan', 'kita']",komando jokowi komando ganjar tetap data fakta sebar cinta penjuru negeri jokowi ajar rawan
Selamat Pagi tuips...kira - kira pagi ini Ganjar sudahkah mandi Junub ?  https,selamat pagi tuips kira kira pagi ganjar sudah mandi junub,2,"['selamat', 'pagi', 'tuips', 'kira', 'kira', 'pagi', 'ganjar', 'sudah', 'mandi', 'junub']",selamat pagi tuips pagi ganjar mandi junub
