created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Aug 27 12:33:13 +0000 2023;1695776481249816841;"Revitalisasi juga meliputi MICE (Meeting, Incentive, Convention, dan Exhibition).  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua";0;0;0;0;es;1101696077147729920;1695776478108258348;03__nakula;https://twitter.com/03__nakula/status/1695776481249816841
Sun Aug 27 12:33:13 +0000 2023;1695776478108258348;"Gubernur Jateng Ganjar Pranowo menggenjot berbagai proyek revitalisasi kawasan Pusat Rekreasi dan Promosi Pembangunan (PRPP) di Jalan Anjasmoro Raya, Tawang Sari, Semarang Barat.   #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua https://t.co/955Tr1paG6";0;1;0;1;in;1101696077147729920;1695776478108258348;03__nakula;https://twitter.com/03__nakula/status/1695776478108258348
Sun Aug 27 12:32:36 +0000 2023;1695776325662134355;"Ganjar sudah Membuktikan  @ganjarpranowo  @AITS_GP   #AITSGP #Ganjar2024 #GanjarPresiden https://t.co/53rdpcwezo";0;0;0;0;in;1651607387462324225;1695776325662134355;AITS_GP;https://twitter.com/AITS_GP/status/1695776325662134355
Sun Aug 27 12:32:11 +0000 2023;1695776221295198326;"Ganjar ke Prabowo: Bapak Pakai Baju Hitam Putih Juga? - https://t.co/nucjNWEe42 #Prabowo #PrabowoUnggul https://t.co/tstkAcTrSG";0;0;0;0;in;215989357;1695776221295198326;Akubknultramen;https://twitter.com/Akubknultramen/status/1695776221295198326
Sun Aug 27 12:32:07 +0000 2023;1695776203116888113;"Ganjar pranoa siapkan konsep EBT di PRPP Jateng.  #GanjarBawaRIMaju https://t.co/SRu55YvgXU";0;0;0;0;in;2468573928;1695776203116888113;rannellie24;https://twitter.com/rannellie24/status/1695776203116888113
Sun Aug 27 12:31:55 +0000 2023;1695776151644639256;"Ganjar pranoa siapkan konsep EBT di PRPP Jateng.  #GanjarBawaRIMaju https://t.co/PHM8t1CD8B";0;0;0;0;in;1496809286735138820;1695776151644639256;Curseezd;https://twitter.com/Curseezd/status/1695776151644639256
Sun Aug 27 12:31:49 +0000 2023;1695776128013873544;"@stockmapping @BukanPegawaiJP AG = anies ganjar";0;0;0;0;nl;3087099534;1695759533845762297;MYasfika;https://twitter.com/MYasfika/status/1695776128013873544
Sun Aug 27 12:31:49 +0000 2023;1695776126671769693;"@DPP_PKB Peduli....💪💪";0;0;0;0;in;1681336578017497088;1695731319572181413;GanjarHil1122;https://twitter.com/GanjarHil1122/status/1695776126671769693
Sun Aug 27 12:31:40 +0000 2023;1695776091787710910;"@txtdrpemerintah Hiperbola, kalau calonnya Ganjar, ngurus Jateng gini² aja, kalau bukan usaha sendiri, ngadelin pemerintah tetap miskin";0;0;0;0;in;1593137104418410496;1695755051514708196;TwitOposan;https://twitter.com/TwitOposan/status/1695776091787710910
Sun Aug 27 12:31:37 +0000 2023;1695776076692332717;"VIDEO: NasDem Jawab Wacana PDIP Sebut Sepakat Anies Nomor Satu, Monggo Ganjar Nomor Dua https://t.co/hZsE6yw1M0";0;0;0;0;in;456426648;1695776076692332717;merdekadotcom;https://twitter.com/merdekadotcom/status/1695776076692332717
